State:,Pop Estimate 2019,State Area in square miles,Pop Density per square mile,Stay at home order date enacted:,,,,,,,,,,,16
Alabama,4903185,50645,96.81478922,4/4/2020,,,,,,,,,,,
Alaska,731545,570641,1.281970626,3/28/2020,,,,,,,,,,,
Arizona,7278717,113594,64.07659736,3/31/2020,,,,,,,,,,,
Arkansas,3017804,52035,57.99565677,12/31/1990,,,,,,,,,,,
California,39512223,155779,253.6428081,3/19/2020,,,,,,,,,,,
Colorado,5758736,103642,55.56372899,3/26/2020,,,,,,,,,,,
Connecticut,3565287,4842,736.3252788,3/23/2020,,,,,,,,,,,
Delaware,973764,1949,499.6223704,3/24/2020,,,,,,,,,,,
District of Columbia,705749,61,11569.65574,12/31/1990,,,,,,,,,,,
Florida,21477737,53625,400.5172401,4/3/2020,,,,,,,,,,,
Georgia,10617423,57513,184.6090971,4/2/2020,,,,,,,,,,,
Hawaii,1415872,6423,220.4378017,3/25/2020,,,,,,,,,,,
Idaho,1787065,82643,21.62391249,3/25/2020,,,,,,,,,,,
Illinois,12671821,55519,228.2429619,3/21/2020,,,,,,,,,,,
Indiana,6732219,35826,187.914336,3/24/2020,,,,,,,,,,,
Iowa,3155070,55857,56.48477362,12/31/1990,,,,,,,,,,,
Kansas,2913314,81759,35.63294561,3/30/2020,,,,,,,,,,,
Kentucky,4467673,39486,113.1457479,3/26/2020,,,,,,,,,,,
Louisiana,4648794,43204,107.6010092,3/26/2020,,,,,,,,,,,
Maine,1344212,30843,43.58240119,4/2/2020,,,,,,,,,,,
Maryland,6045680,9707,622.8165242,3/30/2020,,,,,,,,,,,
Massachusetts,6892503,7800,883.6542308,3/24/2020,,,,,,,,,,,
Michigan,9986857,56539,176.6366048,3/24/2020,,,,,,,,,,,
Minnesota,5639632,79627,70.82562447,3/27/2020,,,,,,,,,,,
Mississippi,2976149,46923,63.42623021,4/3/2020,,,,,,,,,,,
Missouri,6137428,68742,89.28206919,4/3/2020,,,,,,,,,,,
Montana,1068778,145546,7.343231693,3/28/2020,,,,,,,,,,,
Nebraska,1934408,76824,25.1797355,12/31/1990,,,,,,,,,,,
Nevada,3080156,109781,28.05727767,4/1/2020,,,,,,,,,,,
New Hampshire,1359711,8953,151.8721099,3/27/2020,,,,,,,,,,,
New Jersey,8882190,7354,1207.803916,3/21/2020,,,,,,,,,,,
New Mexico,2096829,121298,17.2865917,3/24/2020,,,,,,,,,,,
New York,19453561,47126,412.7989008,3/22/2020,,,,,,,,,,,
North Carolina,10488084,48618,215.7242996,3/30/2020,,,,,,,,,,,
North Dakota,762062,69001,11.04421675,12/31/1990,,,,,,,,,,,
Ohio,11689100,40861,286.0698466,3/23/2020,,,,,,,,,,,
Oklahoma,3956971,68595,57.68599752,3/24/2020,,,,,,,,,,,
Oregon,4217737,95988,43.94025295,3/23/2020,,,,,,,,,,,
Pennsylvania,12801989,44743,286.1227231,4/1/2020,,,,,,,,,,,
Rhode Island,1059361,1034,1024.527079,3/28/2020,,,,,,,,,,,
South Carolina,5148714,30061,171.2755397,4/6/2020,,,,,,,,,,,
South Dakota,884659,75811,11.66926963,12/31/1990,,,,,,,,,,,
Tennessee,6829174,41235,165.6159573,4/2/2020,,,,,,,,,,,
Texas,28995881,261232,110.9966658,4/2/2020,,,,,,,,,,,
Utah,3205958,82170,39.01616162,3/30/2020,,,,,,,,,,,
Vermont,623989,9217,67.69979386,3/25/2020,,,,,,,,,,,
Virginia,8535519,39490,216.1438086,3/30/2020,,,,,,,,,,,
Washington,7614893,66456,114.5854851,3/23/2020,,,,,,,,,,,
West Virginia,1792147,24038,74.55474665,3/24/2020,,,,,,,,,,,
Wisconsin,5822434,54158,107.5082906,3/25/2020,,,,,,,,,,,
Wyoming,578759,97093,5.960872565,12/31/1990,,,,,,,,,,,
Puerto Rico,3193694,3424,932.7377336,3/15/2020,,,,,,,,,,,
